time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
0.000000,-0.513295,-0.504196,0.857095,0.999924,0.004776,-0.011320,0.001026
0.010000,-0.513291,-0.504195,0.857045,0.999924,0.004776,-0.011320,0.001026
0.020000,-0.513280,-0.504191,0.856896,0.999924,0.004776,-0.011320,0.001026
0.030000,-0.513261,-0.504185,0.856646,0.999924,0.004776,-0.011320,0.001026
0.040000,-0.513234,-0.504177,0.856297,0.999924,0.004776,-0.011320,0.001026
0.050000,-0.513200,-0.504166,0.855849,0.999924,0.004776,-0.011320,0.001026
0.060000,-0.513157,-0.504153,0.855301,0.999924,0.004776,-0.011320,0.001026
0.070000,-0.513108,-0.504137,0.854653,0.999924,0.004776,-0.011320,0.001026
0.080000,-0.513050,-0.504119,0.853905,0.999924,0.004776,-0.011320,0.001026
0.090000,-0.512985,-0.504098,0.853058,0.999924,0.004776,-0.011320,0.001026
0.100000,-0.512912,-0.504075,0.852111,0.999924,0.004776,-0.011320,0.001026
0.110000,-0.512832,-0.504050,0.851064,0.999924,0.004776,-0.011320,0.001026
0.120000,-0.512744,-0.504022,0.849918,0.999924,0.004776,-0.011320,0.001026
0.130000,-0.512648,-0.503992,0.848672,0.999924,0.004776,-0.011320,0.001026
0.140000,-0.512545,-0.503959,0.847327,0.999924,0.004776,-0.011320,0.001026
0.150000,-0.512434,-0.503924,0.845881,0.999924,0.004776,-0.011320,0.001026
0.160000,-0.512315,-0.503887,0.844336,0.999924,0.004776,-0.011320,0.001026
0.170000,-0.512189,-0.503847,0.842692,0.999924,0.004776,-0.011320,0.001026
0.180000,-0.512055,-0.503805,0.840947,0.999924,0.004776,-0.011320,0.001026
0.190000,-0.511913,-0.503760,0.839103,0.999924,0.004776,-0.011320,0.001026
0.200000,-0.511764,-0.503713,0.837159,0.999924,0.004776,-0.011320,0.001026
0.210000,-0.511607,-0.503663,0.835116,0.999924,0.004776,-0.011320,0.001026
0.220000,-0.511442,-0.503612,0.832973,0.999924,0.004776,-0.011320,0.001026
