time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,position_d_x,position_d_y,position_d_z,orientation_d_x,orientation_d_y,orientation_d_z,orientation_d_w,translational_stiffness,rotational_stiffness,nullspace_stiffness,velocity,f_x,f_y,f_z,tau_x,tau_x,tau_z,joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.000000,-0.682654,-0.418873,0.826908,0.999093,0.004821,-0.038948,0.016542,-0.800000,-0.500000,0.800000,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.312037,0.827869,0.971215,0.000008,-0.461101,1.301404,0.599159
0.001000,-0.682654,-0.418873,0.826908,0.999093,0.004821,-0.038948,0.016542,-0.800000,-0.500000,0.800000,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.312037,0.827869,0.971215,0.000008,-0.461101,1.301404,0.599159
0.002000,-0.682654,-0.418873,0.826908,0.999093,0.004821,-0.038948,0.016542,-0.800000,-0.500000,0.800000,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.312037,0.827869,0.971215,0.000008,-0.461101,1.301404,0.599159
0.003000,-0.682654,-0.418873,0.826908,0.999093,0.004821,-0.038948,0.016542,-0.800000,-0.500000,0.800000,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.312037,0.827869,0.971215,0.000008,-0.461101,1.301404,0.599159
0.004000,-0.682654,-0.418873,0.826908,0.999093,0.004821,-0.038948,0.016542,-0.800000,-0.500000,0.800000,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.312037,0.827869,0.971215,0.000008,-0.461101,1.301404,0.599159
0.005000,-0.682654,-0.418873,0.826908,0.999093,0.004821,-0.038948,0.016542,-0.800000,-0.500000,0.800000,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.312037,0.827869,0.971215,0.000008,-0.461101,1.301404,0.599159
0.006000,-0.682654,-0.418873,0.826908,0.999093,0.004821,-0.038948,0.016542,-0.800000,-0.500000,0.800000,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.312037,0.827869,0.971215,0.000008,-0.461101,1.301404,0.599159
0.007000,-0.682654,-0.418873,0.826908,0.999093,0.004821,-0.038948,0.016542,-0.682654,-0.418873,0.826908,0.999093,0.004821,-0.038948,0.016542,200.000000,100.000000,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.312037,0.827869,0.971215,0.000008,-0.461101,1.301404,0.599159
0.008000,-0.682654,-0.418873,0.826908,0.999093,0.004821,-0.038948,0.016542,-0.682654,-0.418872,0.826908,0.999093,0.004821,-0.038948,0.016542,200.000000,100.000000,0.000000,0.000040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.312037,0.827869,0.971215,0.000008,-0.461101,1.301404,0.599159
0.009000,-0.682654,-0.418873,0.826908,0.999093,0.004821,-0.038948,0.016542,-0.682655,-0.418872,0.826908,0.999093,0.004821,-0.038948,0.016542,200.000000,100.000000,0.000000,0.000040,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.312037,0.827869,0.971215,0.000008,-0.461101,1.301404,0.599159
