time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,position_d_x,position_d_y,position_d_z,orientation_d_x,orientation_d_y,orientation_d_z,orientation_d_w,translational_stiffness,rotational_stiffness,nullspace_stiffness,velocity,f_x,f_y,f_z,tau_x,tau_x,tau_z,joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.000000,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,200.000000,100.000000,0.000000,0.000035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598757,0.373504,0.078308,-0.832031,0.233736,0.905988,0.743824
0.002000,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,200.000000,100.000000,0.000000,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598757,0.373504,0.078308,-0.832031,0.233735,0.905988,0.743824
0.003000,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,200.000000,100.000000,0.000000,0.000035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598757,0.373504,0.078308,-0.832031,0.233736,0.905988,0.743824
0.004000,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,200.000000,100.000000,0.000000,0.000035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598757,0.373504,0.078308,-0.832031,0.233735,0.905988,0.743824
0.005000,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,200.000000,100.000000,0.000000,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598757,0.373504,0.078308,-0.832031,0.233736,0.905988,0.743824
0.006000,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,200.000000,100.000000,0.000000,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598757,0.373504,0.078308,-0.832031,0.233735,0.905988,0.743824
0.006000,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,200.000000,100.000000,0.000000,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598757,0.373504,0.078308,-0.832031,0.233736,0.905988,0.743824
0.008000,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,200.000000,100.000000,0.000000,0.000035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598757,0.373504,0.078308,-0.832031,0.233735,0.905988,0.743824
0.009000,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,200.000000,100.000000,0.000000,0.000035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598757,0.373504,0.078308,-0.832031,0.233736,0.905988,0.743824
0.010000,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,200.000000,100.000000,0.000000,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598757,0.373504,0.078308,-0.832031,0.233735,0.905988,0.743824
0.011000,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,-0.500000,-0.500000,0.800000,0.999924,0.004772,-0.011324,0.001005,200.000000,100.000000,0.000000,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.598757,0.373504,0.078308,-0.832031,0.233736,0.905988,0.743824
