time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
0.000000,-0.513295,-0.504196,0.857095,0.999924,0.004776,-0.011320,0.001026,
0.000000,-0.513295,-0.504196,0.857095,0.999924,0.004776,-0.011320,0.001026,
0.002000,-0.513295,-0.504196,0.857095,0.999924,0.004776,-0.011320,0.001026,
0.002000,-0.513295,-0.504196,0.857095,0.999924,0.004776,-0.011320,0.001026,
0.003000,-0.513295,-0.504196,0.857095,0.999924,0.004776,-0.011320,0.001026,
0.004000,-0.513295,-0.504196,0.857095,0.999924,0.004776,-0.011320,0.001026,
0.006000,-0.513295,-0.504196,0.857095,0.999924,0.004776,-0.011320,0.001026,
0.006000,-0.513295,-0.504196,0.857095,0.999924,0.004776,-0.011320,0.001026,
0.007000,-0.513295,-0.504196,0.857095,0.999924,0.004776,-0.011320,0.001026,
0.008000,-0.513295,-0.504196,0.857094,0.999924,0.004776,-0.011320,0.001026,
0.009000,-0.513295,-0.504196,0.857094,0.999924,0.004776,-0.011320,0.001026,
0.011000,-0.513295,-0.504196,0.857094,0.999924,0.004776,-0.011320,0.001026,
0.011000,-0.513295,-0.504196,0.857094,0.999924,0.004776,-0.011320,0.001026,
0.013000,-0.513295,-0.504196,0.857093,0.999924,0.004776,-0.011320,0.001026,
0.013000,-0.513295,-0.504196,0.857093,0.999924,0.004776,-0.011320,0.001026,
0.014000,-0.513295,-0.504196,0.857093,0.999924,0.004776,-0.011320,0.001026,
0.015000,-0.513295,-0.504196,0.857093,0.999924,0.004776,-0.011320,0.001026,
0.017000,-0.513295,-0.504196,0.857092,0.999924,0.004776,-0.011320,0.001026,
0.018000,-0.513295,-0.504196,0.857092,0.999924,0.004776,-0.011320,0.001026,
0.019000,-0.513295,-0.504196,0.857091,0.999924,0.004776,-0.011320,0.001026,
0.019000,-0.513295,-0.504196,0.857090,0.999924,0.004776,-0.011320,0.001026,
0.019000,-0.513295,-0.504196,0.857089,0.999924,0.004776,-0.011320,0.001026,
0.021000,-0.513295,-0.504196,0.857088,0.999924,0.004776,-0.011320,0.001026,
0.022000,-0.513295,-0.504196,0.857087,0.999924,0.004776,-0.011320,0.001026,
0.023000,-0.513295,-0.504196,0.857086,0.999924,0.004776,-0.011320,0.001026,
0.025000,-0.513295,-0.504196,0.857085,0.999924,0.004776,-0.011320,0.001026,
0.025000,-0.513294,-0.504196,0.857084,0.999924,0.004776,-0.011320,0.001026,
0.027000,-0.513294,-0.504196,0.857084,0.999924,0.004776,-0.011320,0.001026,
0.027000,-0.513294,-0.504196,0.857083,0.999924,0.004776,-0.011320,0.001026,
0.028000,-0.513294,-0.504196,0.857080,0.999924,0.004776,-0.011320,0.001026,
0.029000,-0.513294,-0.504196,0.857078,0.999924,0.004776,-0.011320,0.001026,
0.031000,-0.513294,-0.504196,0.857076,0.999924,0.004776,-0.011320,0.001026,
0.032000,-0.513294,-0.504196,0.857074,0.999924,0.004776,-0.011320,0.001026,
0.032000,-0.513293,-0.504196,0.857072,0.999924,0.004776,-0.011320,0.001026,
0.033000,-0.513293,-0.504196,0.857070,0.999924,0.004776,-0.011320,0.001026,
0.035000,-0.513293,-0.504196,0.857068,0.999924,0.004776,-0.011320,0.001026,
0.035000,-0.513293,-0.504196,0.857065,0.999924,0.004776,-0.011320,0.001026,
0.036000,-0.513293,-0.504196,0.857063,0.999924,0.004776,-0.011320,0.001026,
0.037000,-0.513293,-0.504195,0.857060,0.999924,0.004776,-0.011320,0.001026,
0.039000,-0.513292,-0.504195,0.857056,0.999924,0.004776,-0.011320,0.001026,
