time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,position_d_x,position_d_y,position_d_z,orientation_d_x,orientation_d_y,orientation_d_z,orientation_d_w,translational_stiffness,rotational_stiffness,nullspace_stiffness,velocity,f_x,f_y,f_z,tau_x,tau_x,tau_z,joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.000000,-0.738558,0.370432,0.813958,0.999669,0.004674,-0.024441,0.006536,-0.738557,0.370425,0.813937,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.562215,1.607751,1.269117,0.000768,-0.191473,1.330499,-0.465301
0.001000,-0.738558,0.370432,0.813958,0.999669,0.004674,-0.024441,0.006536,-0.738557,0.370424,0.813937,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.562214,1.607750,1.269117,0.000766,-0.191473,1.330499,-0.465301
0.002000,-0.738558,0.370432,0.813958,0.999669,0.004674,-0.024441,0.006536,-0.738557,0.370424,0.813937,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.562213,1.607750,1.269117,0.000764,-0.191473,1.330498,-0.465300
0.003000,-0.738558,0.370432,0.813959,0.999669,0.004674,-0.024441,0.006536,-0.738557,0.370423,0.813937,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.562212,1.607750,1.269117,0.000762,-0.191473,1.330497,-0.465300
0.004000,-0.738558,0.370432,0.813959,0.999669,0.004674,-0.024441,0.006536,-0.738557,0.370423,0.813937,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.562210,1.607749,1.269117,0.000760,-0.191473,1.330497,-0.465300
0.005000,-0.738558,0.370432,0.813959,0.999669,0.004674,-0.024441,0.006536,-0.738557,0.370420,0.813937,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000157,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.562209,1.607749,1.269117,0.000759,-0.191473,1.330496,-0.465300
0.006000,-0.738558,0.370432,0.813959,0.999669,0.004674,-0.024441,0.006536,-0.738557,0.370419,0.813937,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.562208,1.607749,1.269116,0.000757,-0.191473,1.330495,-0.465300
0.007000,-0.738558,0.370432,0.813959,0.999669,0.004674,-0.024441,0.006536,-0.738557,0.370417,0.813937,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.562207,1.607748,1.269116,0.000755,-0.191473,1.330494,-0.465300
0.008000,-0.738558,0.370432,0.813959,0.999669,0.004674,-0.024441,0.006536,-0.738558,0.370415,0.813937,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.562206,1.607748,1.269116,0.000753,-0.191473,1.330494,-0.465300
0.009000,-0.738558,0.370432,0.813959,0.999669,0.004674,-0.024441,0.006536,-0.738558,0.370413,0.813937,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.562205,1.607747,1.269116,0.000751,-0.191473,1.330493,-0.465299
0.010000,-0.738558,0.370432,0.813959,0.999669,0.004674,-0.024441,0.006536,-0.738558,0.370411,0.813937,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.562204,1.607747,1.269116,0.000749,-0.191473,1.330492,-0.465299
0.011000,-0.738558,0.370433,0.813960,0.999669,0.004674,-0.024441,0.006536,-0.738558,0.370408,0.813937,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.562203,1.607747,1.269116,0.000747,-0.191473,1.330491,-0.465299
0.012000,-0.738558,0.370433,0.813960,0.999669,0.004674,-0.024441,0.006536,-0.738558,0.370408,0.813937,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.562202,1.607747,1.269116,0.000745,-0.191473,1.330491,-0.465299
0.013000,-0.738558,0.370433,0.813960,0.999669,0.004674,-0.024441,0.006536,-0.738558,0.370403,0.813937,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.562201,1.607746,1.269116,0.000743,-0.191474,1.330490,-0.465299
0.014000,-0.738558,0.370433,0.813960,0.999669,0.004674,-0.024441,0.006536,-0.738559,0.370400,0.813937,0.999669,0.004674,-0.024443,0.006535,200.000000,100.000000,0.000000,0.000130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.562200,1.607746,1.269116,0.000741,-0.191474,1.330489,-0.465299
