time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,position_d_x,position_d_y,position_d_z,orientation_d_x,orientation_d_y,orientation_d_z,orientation_d_w,translational_stiffness,rotational_stiffness,nullspace_stiffness,velocity,f_x,f_y,f_z,tau_x,tau_x,tau_z,joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.000000,-0.515192,-0.307328,0.856965,0.999923,0.004788,-0.011347,0.001243,-0.515192,-0.307328,0.856965,0.999923,0.004788,-0.011347,0.001243,1000.000000,100.000000,0.000000,0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968508,0.128895,0.404370,-1.428521,0.666877,0.735907,0.174451
0.001000,-0.515192,-0.307328,0.856965,0.999923,0.004788,-0.011347,0.001243,-0.515192,-0.307328,0.856965,0.999923,0.004788,-0.011347,0.001243,1000.000000,100.000000,0.000000,0.000020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968508,0.128895,0.404370,-1.428521,0.666877,0.735907,0.174451
0.002000,-0.515192,-0.307328,0.856965,0.999923,0.004788,-0.011347,0.001243,-0.515192,-0.307328,0.856965,0.999923,0.004788,-0.011347,0.001243,1000.000000,100.000000,0.000000,0.000019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968508,0.128895,0.404370,-1.428521,0.666877,0.735907,0.174451
0.003000,-0.515192,-0.307328,0.856965,0.999923,0.004788,-0.011347,0.001243,-0.515192,-0.307328,0.856965,0.999923,0.004788,-0.011347,0.001243,1000.000000,100.000000,0.000000,0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968508,0.128895,0.404370,-1.428521,0.666877,0.735907,0.174451
0.004000,-0.515192,-0.307328,0.856965,0.999923,0.004788,-0.011347,0.001243,-0.515192,-0.307328,0.856965,0.999923,0.004788,-0.011347,0.001243,1000.000000,100.000000,0.000000,0.000020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968508,0.128895,0.404370,-1.428521,0.666877,0.735907,0.174451
0.005000,-0.515192,-0.307328,0.856965,0.999923,0.004788,-0.011347,0.001243,-0.515192,-0.307328,0.856965,0.999923,0.004788,-0.011347,0.001243,1000.000000,100.000000,0.000000,0.000020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968508,0.128895,0.404370,-1.428521,0.666877,0.735907,0.174451
0.006000,-0.515192,-0.307328,0.856965,0.999923,0.004788,-0.011347,0.001243,-0.515192,-0.307328,0.856965,0.999923,0.004788,-0.011347,0.001243,1000.000000,100.000000,0.000000,0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968508,0.128895,0.404370,-1.428521,0.666877,0.735907,0.174451
0.007000,-0.515192,-0.307328,0.856965,0.999923,0.004788,-0.011347,0.001243,-0.515192,-0.307328,0.856965,0.999923,0.004788,-0.011347,0.001243,1000.000000,100.000000,0.000000,0.000020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968508,0.128895,0.404370,-1.428521,0.666877,0.735907,0.174451
0.008000,-0.515192,-0.307328,0.856965,0.999923,0.004788,-0.011347,0.001243,-0.515192,-0.307328,0.856965,0.999923,0.004788,-0.011347,0.001243,1000.000000,100.000000,0.000000,0.000020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968508,0.128895,0.404370,-1.428521,0.666877,0.735907,0.174451
0.009000,-0.515192,-0.307328,0.856965,0.999923,0.004788,-0.011347,0.001243,-0.515192,-0.307328,0.856965,0.999923,0.004788,-0.011347,0.001243,1000.000000,100.000000,0.000000,0.000021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.968508,0.128895,0.404370,-1.428521,0.666877,0.735907,0.174451
